,Date,Year,Quarter,QuarterNumber,MonthNumber,MonthName,Day,DayOfWeek
108,2016-04-18,2016,Q2,2,4,April,18,Monday
109,2016-04-19,2016,Q2,2,4,April,19,Tuesday
110,2016-04-20,2016,Q2,2,4,April,20,Wednesday
111,2016-04-21,2016,Q2,2,4,April,21,Thursday
112,2016-04-22,2016,Q2,2,4,April,22,Friday
113,2016-04-23,2016,Q2,2,4,April,23,Saturday
114,2016-04-24,2016,Q2,2,4,April,24,Sunday
115,2016-04-25,2016,Q2,2,4,April,25,Monday
116,2016-04-26,2016,Q2,2,4,April,26,Tuesday
117,2016-04-27,2016,Q2,2,4,April,27,Wednesday
118,2016-04-28,2016,Q2,2,4,April,28,Thursday
119,2016-04-29,2016,Q2,2,4,April,29,Friday
120,2016-04-30,2016,Q2,2,4,April,30,Saturday
121,2016-05-01,2016,Q2,2,5,May,1,Sunday
122,2016-05-02,2016,Q2,2,5,May,2,Monday
123,2016-05-03,2016,Q2,2,5,May,3,Tuesday
124,2016-05-04,2016,Q2,2,5,May,4,Wednesday
125,2016-05-05,2016,Q2,2,5,May,5,Thursday
126,2016-05-06,2016,Q2,2,5,May,6,Friday
127,2016-05-07,2016,Q2,2,5,May,7,Saturday
128,2016-05-08,2016,Q2,2,5,May,8,Sunday
129,2016-05-09,2016,Q2,2,5,May,9,Monday
130,2016-05-10,2016,Q2,2,5,May,10,Tuesday
131,2016-05-11,2016,Q2,2,5,May,11,Wednesday
132,2016-05-12,2016,Q2,2,5,May,12,Thursday
133,2016-05-13,2016,Q2,2,5,May,13,Friday
134,2016-05-14,2016,Q2,2,5,May,14,Saturday
135,2016-05-15,2016,Q2,2,5,May,15,Sunday
136,2016-05-16,2016,Q2,2,5,May,16,Monday
137,2016-05-17,2016,Q2,2,5,May,17,Tuesday
138,2016-05-18,2016,Q2,2,5,May,18,Wednesday
139,2016-05-19,2016,Q2,2,5,May,19,Thursday
140,2016-05-20,2016,Q2,2,5,May,20,Friday
141,2016-05-21,2016,Q2,2,5,May,21,Saturday
142,2016-05-22,2016,Q2,2,5,May,22,Sunday
143,2016-05-23,2016,Q2,2,5,May,23,Monday
144,2016-05-24,2016,Q2,2,5,May,24,Tuesday
145,2016-05-25,2016,Q2,2,5,May,25,Wednesday
146,2016-05-26,2016,Q2,2,5,May,26,Thursday
147,2016-05-27,2016,Q2,2,5,May,27,Friday
148,2016-05-28,2016,Q2,2,5,May,28,Saturday
149,2016-05-29,2016,Q2,2,5,May,29,Sunday
150,2016-05-30,2016,Q2,2,5,May,30,Monday
151,2016-05-31,2016,Q2,2,5,May,31,Tuesday
152,2016-06-01,2016,Q2,2,6,June,1,Wednesday
153,2016-06-02,2016,Q2,2,6,June,2,Thursday
154,2016-06-03,2016,Q2,2,6,June,3,Friday
155,2016-06-04,2016,Q2,2,6,June,4,Saturday
156,2016-06-05,2016,Q2,2,6,June,5,Sunday
157,2016-06-06,2016,Q2,2,6,June,6,Monday
158,2016-06-07,2016,Q2,2,6,June,7,Tuesday
159,2016-06-08,2016,Q2,2,6,June,8,Wednesday
160,2016-06-09,2016,Q2,2,6,June,9,Thursday
161,2016-06-10,2016,Q2,2,6,June,10,Friday
162,2016-06-11,2016,Q2,2,6,June,11,Saturday
163,2016-06-12,2016,Q2,2,6,June,12,Sunday
164,2016-06-13,2016,Q2,2,6,June,13,Monday
165,2016-06-14,2016,Q2,2,6,June,14,Tuesday
166,2016-06-15,2016,Q2,2,6,June,15,Wednesday
167,2016-06-16,2016,Q2,2,6,June,16,Thursday
168,2016-06-17,2016,Q2,2,6,June,17,Friday
169,2016-06-18,2016,Q2,2,6,June,18,Saturday
170,2016-06-19,2016,Q2,2,6,June,19,Sunday
171,2016-06-20,2016,Q2,2,6,June,20,Monday
172,2016-06-21,2016,Q2,2,6,June,21,Tuesday
173,2016-06-22,2016,Q2,2,6,June,22,Wednesday
174,2016-06-23,2016,Q2,2,6,June,23,Thursday
175,2016-06-24,2016,Q2,2,6,June,24,Friday
176,2016-06-25,2016,Q2,2,6,June,25,Saturday
177,2016-06-26,2016,Q2,2,6,June,26,Sunday
178,2016-06-27,2016,Q2,2,6,June,27,Monday
179,2016-06-28,2016,Q2,2,6,June,28,Tuesday
180,2016-06-29,2016,Q2,2,6,June,29,Wednesday
181,2016-06-30,2016,Q2,2,6,June,30,Thursday
182,2016-07-01,2016,Q3,3,7,July,1,Friday
183,2016-07-02,2016,Q3,3,7,July,2,Saturday
184,2016-07-03,2016,Q3,3,7,July,3,Sunday
185,2016-07-04,2016,Q3,3,7,July,4,Monday
186,2016-07-05,2016,Q3,3,7,July,5,Tuesday
